block_size_bits,arity_cap,codec_family,pass,seed_depth_bits,log2_seed_count,bits_before,bits_after,percent_raw,accepted_replacements,gain_p50,gain_p90,gain_p99,max_gain,superposed_retained,superposed_converted,shuffle_refresh,metadata_bits
16,16,ext1,3,32,32,227064,227028,118.2602,16.51,2,5,9,24,2504.4,4.395e-02,1.0,32
16,16,ext1,4,32,32,227022,226986,118.2468,16.49,2,5,9,24,2502.5,4.392e-02,1.0,48
16,16,ext1,5,32,32,226980,226944,118.2334,16.48,2,5,9,24,2500.6,4.389e-02,1.0,64
16,16,ext1,6,32,32,226938,226902,118.2200,16.47,2,5,9,24,2498.7,4.386e-02,1.0,80
16,16,ext1,7,32,32,226896,226860,118.2064,16.45,2,5,9,24,2496.8,4.383e-02,1.0,96
16,16,ext1,8,32,32,226854,226818,118.1929,16.44,2,5,9,24,2494.9,4.380e-02,1.0,112
16,16,ext1,1,128,128,192000,213200,111.0418,,,,,,,,1.0,0
16,16,ext1,2,128,128,213200,213200,111.0500,0.10,2,5,8,17,7.0,3.615e-06,1.0,16
16,16,ext1,3,128,128,213200,213200,111.0581,0.10,2,5,8,17,7.0,3.616e-06,1.0,32
16,16,ext1,4,128,128,213199,213199,111.0662,0.10,2,5,8,17,7.0,3.616e-06,1.0,48
16,16,ext1,5,128,128,213199,213199,111.0744,0.10,2,5,8,17,7.0,3.617e-06,1.0,64
16,16,ext1,6,128,128,213199,213198,111.0825,0.10,2,5,8,17,7.0,3.617e-06,1.0,80
16,16,ext1,7,128,128,213198,213198,111.0906,0.10,2,5,8,17,7.0,3.618e-06,1.0,96
16,16,ext1,8,128,128,213198,213198,111.0987,0.10,2,5,8,17,7.0,3.618e-06,1.0,112
16,16,ext1,1,1024,1024,192000,204750,106.6406,,,,,,,,1.0,0
16,16,ext1,2,1024,1024,204750,204750,106.6489,0.04,2,4,8,15,11.6,7.481e-06,1.0,16
16,16,ext1,3,1024,1024,204750,204750,106.6572,0.04,2,4,8,15,11.6,7.480e-06,1.0,32
16,16,ext1,4,1024,1024,204750,204750,106.6655,0.04,2,4,8,15,11.6,7.480e-06,1.0,48
16,16,ext1,5,1024,1024,204750,204750,106.6738,0.04,2,4,8,15,11.6,7.479e-06,1.0,64
16,16,ext1,6,1024,1024,204750,204750,106.6821,0.04,2,4,8,15,11.6,7.479e-06,1.0,80
16,16,ext1,7,1024,1024,204750,204750,106.6904,0.04,2,4,8,15,11.6,7.478e-06,1.0,96
16,16,ext1,8,1024,1024,204750,204749,106.6987,0.04,2,4,8,15,11.6,7.478e-06,1.0,112
16,16,ext1,1,24000,24000,192000,204750,106.6406,,,,,,,,1.0,0
16,16,ext1,2,24000,24000,204750,204750,106.6489,0.05,2,4,8,16,11.6,1.631e-05,1.0,16
16,16,ext1,3,24000,24000,204750,204750,106.6572,0.05,2,4,8,16,11.6,1.631e-05,1.0,32
16,16,ext1,4,24000,24000,204750,204750,106.6655,0.05,2,4,8,16,11.6,1.630e-05,1.0,48
16,16,ext1,5,24000,24000,204750,204750,106.6737,0.05,2,4,8,16,11.6,1.630e-05,1.0,64
